                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.4383,                 1.4337,                 1.3266,                0.51567,                0.48374,                0.47618,                0.26253,                 1.5333,                 1.3887,                 1.3555,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4463,                 1.4556,                  1.349,                0.52054,                0.46727,                 0.4718,                0.26577,                  1.521,                 1.3812,                 1.3651,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4534,                 1.4413,                 1.3483,                0.50235,                0.47139,                0.46246,                0.26392,                  1.496,                 1.3864,                 1.3511,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4226,                 1.4217,                 1.3269,                0.51192,                0.46521,                0.46568,                0.26585,                  1.518,                 1.3808,                 1.3527,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4586,                 1.4456,                 1.3617,                0.52174,                0.46394,                0.47159,                0.26662,                 1.5006,                 1.3644,                 1.3409,               0.000713,               0.000713,               0.000713
                     67,                 1.4389,                 1.4339,                 1.3408,                0.50074,                0.46974,                0.47868,                0.26984,                 1.5164,                   1.37,                 1.3489,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4354,                 1.4279,                 1.3332,                0.51107,                0.48127,                0.48435,                0.27313,                 1.5046,                   1.36,                 1.3439,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4243,                 1.3993,                 1.3059,                0.52113,                0.48538,                0.48502,                0.27272,                 1.5311,                 1.3566,                 1.3441,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4286,                 1.3992,                 1.3238,                0.50149,                0.49077,                0.47905,                0.26808,                 1.5097,                 1.3681,                 1.3463,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4135,                  1.398,                 1.3063,                0.50056,                0.48028,                 0.4816,                0.27308,                 1.5023,                 1.3488,                 1.3378,               0.000614,               0.000614,               0.000614
                     72,                 1.4304,                 1.4152,                 1.3349,                0.51615,                0.48415,                 0.4832,                0.27335,                 1.5033,                 1.3482,                 1.3408,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4076,                 1.3881,                 1.3059,                0.52463,                0.47592,                0.48527,                0.27409,                 1.5026,                 1.3451,                 1.3346,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4148,                 1.3926,                  1.315,                0.50432,                0.48621,                0.48694,                 0.2738,                 1.4871,                 1.3478,                 1.3324,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3954,                 1.3676,                 1.2973,                0.52262,                0.47839,                0.48964,                0.27736,                 1.4805,                 1.3301,                 1.3278,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3806,                 1.3626,                 1.2996,                0.53162,                0.47262,                0.48945,                 0.2775,                 1.5065,                 1.3279,                 1.3441,               0.000515,               0.000515,               0.000515
                     77,                 1.3751,                 1.3532,                 1.2916,                0.51569,                 0.4788,                0.48316,                0.27761,                 1.5019,                  1.339,                 1.3451,              0.0004952,              0.0004952,              0.0004952
